Column Name,Original Value,Imputed/Encoded Value
pickup_location,"Manhattan,Inwood",113
pickup_location,"Manhattan,Inwood Hill Park",114
pickup_location,"Manhattan,Kips Bay",115
pickup_location,"Manhattan,Lincoln Square East",116
pickup_location,"Manhattan,Little Italy/NoLiTa",117
pickup_location,"Manhattan,Manhattan Valley",118
pickup_location,"Manhattan,Manhattanville",119
pickup_location,"Manhattan,Marble Hill",120
pickup_location,"Manhattan,Morningside Heights",121
pickup_location,"Manhattan,Randalls Island",122
pickup_location,"Manhattan,Roosevelt Island",123
pickup_location,"Manhattan,Upper East Side North",124
pickup_location,"Manhattan,Upper West Side South",125
pickup_location,"Manhattan,Washington Heights North",126
pickup_location,"Manhattan,Washington Heights South",127
pickup_location,"Manhattan,Yorkville East",128
pickup_location,"Manhattan,Yorkville West",129
pickup_location,"Queens,Astoria",130
pickup_location,"Queens,Astoria Park",131
pickup_location,"Queens,Auburndale",132
pickup_location,"Queens,Baisley Park",133
pickup_location,"Queens,Bay Terrace/Fort Totten",134
pickup_location,"Queens,Bayside",135
pickup_location,"Queens,Bellerose",136
pickup_location,"Queens,Breezy Point/Fort Tilden/Riis Beach",137
pickup_location,"Queens,Briarwood/Jamaica Hills",138
pickup_location,"Queens,Broad Channel",139
pickup_location,"Queens,Cambria Heights",140
pickup_location,"Queens,College Point",141
pickup_location,"Queens,Corona",142
pickup_location,"Queens,Douglaston",143
pickup_location,"Queens,East Elmhurst",144
pickup_location,"Queens,East Flushing",145
pickup_location,"Queens,Elmhurst",146
pickup_location,"Queens,Elmhurst/Maspeth",147
pickup_location,"Queens,Far Rockaway",148
pickup_location,"Queens,Flushing",149
pickup_location,"Queens,Flushing Meadows-Corona Park",150
pickup_location,"Queens,Forest Hills",151
pickup_location,"Queens,Forest Park/Highland Park",152
pickup_location,"Queens,Fresh Meadows",153
pickup_location,"Queens,Glen Oaks",154
pickup_location,"Queens,Glendale",155
pickup_location,"Queens,Hammels/Arverne",156
pickup_location,"Queens,Hillcrest/Pomonok",157
pickup_location,"Queens,Hollis",158
pickup_location,"Queens,Howard Beach",159
pickup_location,"Queens,JFK Airport",160
pickup_location,"Queens,Jackson Heights",161
pickup_location,"Queens,Jamaica",162
pickup_location,"Queens,Jamaica Estates",163
pickup_location,"Queens,Kew Gardens",164
pickup_location,"Queens,Kew Gardens Hills",165
pickup_location,"Queens,LaGuardia Airport",166
pickup_location,"Queens,Laurelton",167
pickup_location,"Queens,Long Island City/Hunters Point",168
pickup_location,"Queens,Long Island City/Queens Plaza",169
pickup_location,"Queens,Maspeth",170
pickup_location,"Queens,Middle Village",171
pickup_location,"Queens,Murray Hill-Queens",172
pickup_location,"Queens,North Corona",173
pickup_location,"Queens,Oakland Gardens",174
pickup_location,"Queens,Old Astoria",175
pickup_location,"Queens,Ozone Park",176
pickup_location,"Queens,Queens Village",177
pickup_location,"Queens,Queensboro Hill",178
pickup_location,"Queens,Queensbridge/Ravenswood",179
pickup_location,"Queens,Rego Park",180
pickup_location,"Queens,Richmond Hill",181
pickup_location,"Queens,Ridgewood",182
pickup_location,"Queens,Rosedale",183
pickup_location,"Queens,Saint Albans",184
pickup_location,"Queens,Saint Michaels Cemetery/Woodside",185
pickup_location,"Queens,South Jamaica",186
pickup_location,"Queens,South Ozone Park",187
pickup_location,"Queens,Springfield Gardens North",188
pickup_location,"Queens,Springfield Gardens South",189
pickup_location,"Queens,Steinway",190
pickup_location,"Queens,Sunnyside",191
pickup_location,"Queens,Whitestone",192
pickup_location,"Queens,Willets Point",193
pickup_location,"Queens,Woodhaven",194
pickup_location,"Queens,Woodside",195
pickup_location,"Staten Island,Arrochar/Fort Wadsworth",196
pickup_location,"Staten Island,Bloomfield/Emerson Hill",197
pickup_location,"Staten Island,Charleston/Tottenville",198
pickup_location,"Staten Island,Great Kills",199
pickup_location,"Staten Island,Grymes Hill/Clifton",200
pickup_location,"Staten Island,Heartland Village/Todt Hill",201
pickup_location,"Staten Island,Mariners Harbor",202
pickup_location,"Staten Island,New Dorp/Midland Beach",203
pickup_location,"Staten Island,Oakwood",204
pickup_location,"Staten Island,Port Richmond",205
pickup_location,"Staten Island,Saint George/New Brighton",206
pickup_location,"Staten Island,South Beach/Dongan Hills",207
pickup_location,"Staten Island,Stapleton",208
pickup_location,"Staten Island,West Brighton",209
pickup_location,"Unknown,NV",210
pickup_location,"Unknown,Unknown",211
dropoff_location,"Bronx,Allerton/Pelham Gardens",0
dropoff_location,"Bronx,Bedford Park",1
dropoff_location,"Bronx,Belmont",2
dropoff_location,"Bronx,Bronx Park",3
dropoff_location,"Bronx,Bronxdale",4
dropoff_location,"Bronx,City Island",5
dropoff_location,"Bronx,Claremont/Bathgate",6
dropoff_location,"Bronx,Co-Op City",7
dropoff_location,"Bronx,Country Club",8
dropoff_location,"Bronx,Crotona Park",9
dropoff_location,"Bronx,Crotona Park East",10
dropoff_location,"Bronx,East Concourse/Concourse Village",11
dropoff_location,"Bronx,East Tremont",12
dropoff_location,"Bronx,Eastchester",13
dropoff_location,"Bronx,Fordham South",14
dropoff_location,"Bronx,Highbridge",15
dropoff_location,"Bronx,Hunts Point",16
dropoff_location,"Bronx,Kingsbridge Heights",17
dropoff_location,"Bronx,Longwood",18
dropoff_location,"Bronx,Melrose South",19
dropoff_location,"Bronx,Morrisania/Melrose",20
dropoff_location,"Bronx,Mott Haven/Port Morris",21
dropoff_location,"Bronx,Mount Hope",22
dropoff_location,"Bronx,Norwood",23
dropoff_location,"Bronx,Parkchester",24
dropoff_location,"Bronx,Pelham Bay",25
dropoff_location,"Bronx,Pelham Bay Park",26
dropoff_location,"Bronx,Pelham Parkway",27
dropoff_location,"Bronx,Riverdale/North Riverdale/Fieldston",28
dropoff_location,"Bronx,Schuylerville/Edgewater Park",29
dropoff_location,"Bronx,Soundview/Bruckner",30
dropoff_location,"Bronx,Soundview/Castle Hill",31
dropoff_location,"Bronx,Spuyten Duyvil/Kingsbridge",32
dropoff_location,"Bronx,University Heights/Morris Heights",33
dropoff_location,"Bronx,Van Cortlandt Park",34
dropoff_location,"Bronx,Van Cortlandt Village",35
dropoff_location,"Bronx,Van Nest/Morris Park",36
dropoff_location,"Bronx,West Concourse",37
dropoff_location,"Bronx,West Farms/Bronx River",38
dropoff_location,"Bronx,Westchester Village/Unionport",39
dropoff_location,"Bronx,Williamsbridge/Olinville",40
dropoff_location,"Bronx,Woodlawn/Wakefield",41
dropoff_location,"Brooklyn,Bath Beach",42
dropoff_location,"Brooklyn,Bay Ridge",43
dropoff_location,"Brooklyn,Bedford",44
dropoff_location,"Brooklyn,Bensonhurst East",45
dropoff_location,"Brooklyn,Bensonhurst West",46
dropoff_location,"Brooklyn,Boerum Hill",47
dropoff_location,"Brooklyn,Borough Park",48
dropoff_location,"Brooklyn,Brighton Beach",49
dropoff_location,"Brooklyn,Brooklyn Heights",50
dropoff_location,"Brooklyn,Brooklyn Navy Yard",51
dropoff_location,"Brooklyn,Brownsville",52
dropoff_location,"Brooklyn,Bushwick North",53
dropoff_location,"Brooklyn,Bushwick South",54
dropoff_location,"Brooklyn,Canarsie",55
dropoff_location,"Brooklyn,Carroll Gardens",56
dropoff_location,"Brooklyn,Clinton Hill",57
dropoff_location,"Brooklyn,Cobble Hill",58
dropoff_location,"Brooklyn,Columbia Street",59
dropoff_location,"Brooklyn,Coney Island",60
dropoff_location,"Brooklyn,Crown Heights North",61
dropoff_location,"Brooklyn,Crown Heights South",62
dropoff_location,"Brooklyn,Cypress Hills",63
dropoff_location,"Brooklyn,DUMBO/Vinegar Hill",64
dropoff_location,"Brooklyn,Downtown Brooklyn/MetroTech",65
dropoff_location,"Brooklyn,Dyker Heights",66
dropoff_location,"Brooklyn,East Flatbush/Farragut",67
dropoff_location,"Brooklyn,East Flatbush/Remsen Village",68
dropoff_location,"Brooklyn,East New York",69
dropoff_location,"Brooklyn,East New York/Pennsylvania Avenue",70
dropoff_location,"Brooklyn,East Williamsburg",71
dropoff_location,"Brooklyn,Erasmus",72
dropoff_location,"Brooklyn,Flatbush/Ditmas Park",73
dropoff_location,"Brooklyn,Flatlands",74
dropoff_location,"Brooklyn,Fort Greene",75
dropoff_location,"Brooklyn,Gowanus",76
dropoff_location,"Brooklyn,Gravesend",77
dropoff_location,"Brooklyn,Green-Wood Cemetery",78
dropoff_location,"Brooklyn,Greenpoint",79
dropoff_location,"Brooklyn,Homecrest",80
dropoff_location,"Brooklyn,Kensington",81
dropoff_location,"Brooklyn,Madison",82
dropoff_location,"Brooklyn,Manhattan Beach",83
